"coinID","imageUrl","playerName","playerSurname","teamID"
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/australia/Aaron MOOY.png","aaron","mooy",3
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/argentina/Ever BANEGA.png","ever","banega",1
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/costa rica/Bryan RUIZ.png","bryan","ruiz",4
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/sweden/Sebastian LARSSON.png","sebastian","larsson",5
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/russia/Denis CHERYSHEV.png","denis","cheryshev",6
4,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/argentina/Lionel MESSI.png","lionel","messi",1
2,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/columbia/Davinson SANCHEZ.png","davinson","sanchez",7
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/south korea/KI Sungyueng.png","ki","sungyueng",8
4,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/france/Kylian MBAPPE.png","kylian","mbappe",2
4,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/france/Kylian MBAPPE.png","kylian","mbappe",2
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/iceland/Johann GUDMUNDSSON.png","johann","gudmundsson",10
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/japan/Takashi INUI.png","takashi","inui",11
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/nigeria/Oghenekaro ETEBO.png","oghenekaro","etebo",12
2,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/england/Jordan Pickford.png","jordan","pickford",13
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/iceland/Aron GUNNARSSON.png","aron","gunnarsson",10
3,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/france/Antoine GRIEZMANN.png","antoine","griezmann",2
3,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/france/Antoine GRIEZMANN.png","antoine","griezmann",2
3,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/brazil/CASEMIRO.png","casemiro","casemiro",14
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/costa rica/Joel CAMPBELL.png","joel","campbell",4
3,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/egypt/Mohamed Salah.png","mohamed","salah",15
3,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/brazil/PHILIPPE COUTINHO.png","philippe","coutinho",14
4,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/croatia/Luka MODRIC.png","luka","modric",16
2,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/denmark/Simon KJAER.png","simon","kjaer",17
3,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/columbia/James RODRIGUEZ.png","james","rodriguez",7
4,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/brazil/NEYMAR.png","neymar","jr",14
4,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/belgium/Eden HAZARD.png","eden","hazard",18
4,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/germany/Toni KROOS.png","toni","kroos",19
3,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/germany/Marco REUS.png","marco","reus",19
3,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/england/Harry Kane.png","harry","kane",13
3,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/denmark/Kasper SCHMEICHEL.png","kasper","schmeichel",17
3,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/france/Ngolo KANTE.png","ngolo","kante",2
3,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/france/Ngolo KANTE.png","ngolo","kante",2
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/egypt/Essam El-Hadary.png","essam","el-hadary",15
3,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/morocco/Hakim ZIYACH.png","hakim","ziyach",20
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/panama/Gabriel TORRES.png","gabriel","torres",21
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/peru/Christian RAMOS.png","christian","ramos",22
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/iran/Sardar AZMOUN.png","sardar","azmoun",23
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/peru/Paolo GUERRERO.png","paolo","guerrero",22
2,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/senegal/Ismaila SARR.png","ismaila","sarr",24
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/peru/Andre CARRILLO.png","andre","carrillo",22
2,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/poland/Jakub BLASZCZYKOWSKI.png","jakub","blaszczykowski",25
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/panama/Luis TEJADA.png","luis","tejada",21
2,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/mexico/Hirving LOZANO.png","hirving","lozano",26
2,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/mexico/Hirving LOZANO.png","hirving","lozano",26
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/iran/Karim Ansarifard.png","karim","ansarifard",23
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/saudi arabia/Fahad Al-Muwallad.png","fahad","al-muwallad",27
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/iran/Ali BEIRANVAND.png","ali","beiranvand",23
2,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/japan/Yuto Nagamoto.png","yuto","nagamoto",11
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/australia/Mathew LECKIE.png","mathew","leckie",3
3,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/belgium/Jan VERTONGHEN.png","jan","vertonghen",18
3,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/costa rica/Keylor NAVAS.png","keylor","navas",4
2,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/columbia/Yerry MINA.png","yerry","mina",7
3,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/argentina/Javier MASCHERANO.png","javier","mascherano",1
3,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/croatia/Ivan RAKITIC.png","ivan","rakitic",16
2,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/morocco/Mehdi BENATIA.png","mehdi","benatia",20
4,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/poland/Robert LEWANDOWSKI.png","robert","lewandowski",25
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/australia/Mile JEDINAK.png","mile","jedinak",3
4,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/uruguay/Luis Suarez.png","luis","suarez",28
3,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/england/Kieran TRIPPIER.png","kieran","trippier",13
2,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/russia/Igor Akinfeev.png","igor","akinfeev",6
1,"https://zpcbncxtprtxcantyxey.supabase.co/storage/v1/object/public/nizhny-koin-ref/teams/tunisia/Dylan BRONN.png","dylan","bronn",29
